prime,A,x0,trials,cycles,mul_count,inv_count,branch_count,opcount_m3,batch_time_ms,method
1021907,323604,604040,8548,292,66,0,0,66.000,1026.48,bruteforce
1021907,290455,874778,4472,291,66,0,0,66.000,1026.48,bruteforce
1021907,127711,390843,1155,333,66,0,0,66.000,1026.48,bruteforce
1021907,274052,619093,51039,292,66,0,0,66.000,1026.48,bruteforce
1021907,618353,593231,31260,333,66,0,0,66.000,1026.48,bruteforce
1021907,363566,38258,24266,334,66,0,0,66.000,1026.48,bruteforce
1021907,842960,720839,128896,292,66,0,0,66.000,1026.48,bruteforce
1021907,157309,469800,26292,334,66,0,0,66.000,1026.48,bruteforce
1021907,33551,5385,15762,292,66,0,0,66.000,1026.48,bruteforce
1021907,826510,338697,2526,334,66,0,0,66.000,1026.48,bruteforce
1022611,205829,617894,7141,291,66,0,0,66.000,232.43,bruteforce
1022611,558204,484161,536,292,66,0,0,66.000,232.43,bruteforce
1022611,460738,381847,5984,334,66,0,0,66.000,232.43,bruteforce
1022611,622767,696038,5720,708,66,0,0,66.000,232.43,bruteforce
1022611,204312,250137,912,292,66,0,0,66.000,232.43,bruteforce
1022611,939881,722872,11137,291,66,0,0,66.000,232.43,bruteforce
1022611,483871,375064,4615,292,66,0,0,66.000,232.43,bruteforce
1022611,38904,104507,9262,333,66,0,0,66.000,232.43,bruteforce
1022611,672481,692909,2525,292,66,0,0,66.000,232.43,bruteforce
1022611,319155,456663,3269,292,66,0,0,66.000,232.43,bruteforce
1022611,25208,199799,11513,292,66,0,0,66.000,232.43,bruteforce
1022611,832887,389763,5080,292,66,0,0,66.000,232.43,bruteforce
1022611,93607,276349,12165,333,66,0,0,66.000,232.43,bruteforce
1022611,342825,1012462,1808,334,66,0,0,66.000,232.43,bruteforce
1022611,182708,384849,12273,333,66,0,0,66.000,232.43,bruteforce
1022611,327280,50264,2854,292,66,0,0,66.000,232.43,bruteforce
1022611,455065,55218,493,333,66,0,0,66.000,232.43,bruteforce
1022611,829512,335154,21789,333,66,0,0,66.000,232.43,bruteforce
1022611,233537,90437,10099,292,66,0,0,66.000,232.43,bruteforce
1022611,744271,294058,17064,708,66,0,0,66.000,232.43,bruteforce
1023313,1020033,636766,459,292,66,0,0,66.000,166.24,bruteforce
1023313,388234,72577,10595,292,66,0,0,66.000,166.24,bruteforce
1023313,942980,588135,2377,291,66,0,0,66.000,166.24,bruteforce
1023313,629602,145624,789,333,66,0,0,66.000,166.24,bruteforce
1023313,786412,120279,9244,708,66,0,0,66.000,166.24,bruteforce
1023313,99462,351736,10977,333,66,0,0,66.000,166.24,bruteforce
1023313,458126,339717,11324,292,66,0,0,66.000,166.24,bruteforce
